,"שימו לב - יש למלא עבור כל סמסטר במהלך שנות הלימודים של המסלול את רשימות מספרי הקורסים שנדרש ללמוד, בסיווגים של חובה, חובת בחירה ובחירה.
יש לרשום את מספרי הקורסים עם פסיק ורווח ביניהם. ניתן (ומומלץ) להוסיף קורסים שלא נלמדים בגבעת רם.
ניתן לרשום קורס מסוים ביותר ממשבצת אחת של כל מסלול.
עבור מסלולים שמתחילים בחורף - לרשום כאילו שהם לא לומדים כלום בסמסטר הראשון ושאר הסמסטרים בהיסט (ראו מדמח חורף לדוגמא).
מסלולים שלא רשומים עדיין - יש להוסיף בעמודה השמאלית. השתדלו להבחין בבירור בין מסלולים דומים אך שונים כגון חד-חוגי מורחב, חד חוגי עם חטיבה (ספציפית), דו-חוגי וכן הלאה.
תודה על שיתוף הפעולה!",,,,,,,,,,,,,,,,,,,,,,,
,סמסטר 1,,,סמסטר 2,,,סמסטר 3,,,סמסטר 4,,,סמסטר 5,,,סמסטר 6,,,סמסטר 7,,,סמסטר 8,,
,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה
מדמח חד חוגי,"67101, 80181, 80134, 80131",,,"67315, 80135, 80132, 67109",,,"67504, 80430, 67925, 67501, 67125","67506, 67528, 67594, 67609, 67829",,"67808, 67521","67200, 67392, 67577, 67842",,,,,,,,,,,,,
מדמח חד חוגי חורף,,,,"67101, 80131, 80134, 80181",,,,,,,,,,,,,,,,,,,,
ביובית,,,,,,,,,,,,,,,,,,,,,,,,
מדע הנתונים,,,,,,,,,,,,,,,,,,,,,,,,
קוגניציה,,,,,,,,,,,,,,,,,,,,,,,,
דו-חוגי פיזיקה-מדמח,,,,,,,,,,,,,,,,,,,,,,,,
פיזיקה-חד חוגי,,,,,,,,,,,,,,,,,,,,,,,,
הנדסת מחשבים,,,,,,,,,,,,,,,,,,,,,,,,
