 מבוא למדעי המחשב,67101,2022-01-16,2022-02-13
מתמטיקה דיסקרטית,80181,2022-02-09,2022-03-02
אלגברה ליניארית (1),80134,2022-02-04,2022-02-27
חשבון אינפיניטסימלי (1),80131,2022-01-26,2022-02-17
אלגוריתמים,67504,2022-02-10,2022-03-03
מבוא להסתברות וסטטיסטיקה,80430,2022-01-18,2022-02-15
סדנה במערכות חישוב מ-NAND ל-TETRIS,67925,2022-01-21,2022-02-18
מבוא ללוגיקה מתמטית לבעלי אוריינטציה תכנותית,67501,2022-01-28,2022-02-23
מבוא לתכנות מונחה עצמים,67125,2022-02-03,2022-02-27
,67528,2022-01-26,2022-02-17
מבוא לרשתות תקשורת,67594,2022-01-31,2022-02-25
גרפיקה ממוחשבת,67609,2022-01-16,2022-02-13
דיני סייבר,67398,2022-01-30,2022-02-21
קומבינטוריקה,80520,2022-02-02,2022-02-28
מבוא ללמידה עמוקה ,67822,2022-01-16,2022-02-13
למידה חישובית בייזיאנית,67564,2022-01-31,2022-02-24
עבוד תמונות רפואיות רובוטיקה רפואית וניתוחים מונחי מחשב,67705,2022-01-23,2022-02-18
תיאוריה סט' למדעי המחשב ,52309,2022-02-06,2022-03-01
מבני נתונים,67109,2022-02-10,2022-03-03
חשבון אינפיניטסימלי (2),80132,2022-02-03,2022-02-25
אלגברה ליניארית (2),80135,2022-01-16,2022-02-13
סדנת תכנות בשפות C ו- ++C,67312,2022-01-24,2022-02-18
"מודלים חישוביים, חישוביות וסיבוכיות ",67521,2022-02-10,2022-03-03
עיבוד שפה טבעית ,67658,2022-01-19,2022-02-23
,67548,2022-01-27,2022-02-21
מבוא לביולוגיה לתלמידי מדעים,72160,2022-01-30,2022-02-23
ביוכימיה של התא,72120,2022-01-25,2022-02-20
ביוסטטיסטיקה מתקדמת בדגש חישובי,72942,2022-01-16,2022-02-13
מבוא לאקולוגיה,72107,2022-02-09,2022-03-02
מבוא למדעי הצמח,72334,2022-01-23,2022-02-16
מבוא לפיסיולוגיה,72336,2022-01-18,2022-02-22
מבוא למיקרוביולוגיה - שיעור,72362,2022-01-16,2022-02-13
