01/16/2022,02/11/2022,02/15/2022,03/03/2022,מרתון ירושלים 22/3,,,,,
מס' חוג,שם חוג,שם קורס ,מספר קורס,סמסטר,הערות ,מועד א'  ,מועד ב'  ,סיבה לשינויי,סיבה לדחיית השינוי
511,פיסיקה יישומית,מכניקה ויחסות פרטית לתלמידי הנדסה,83312,א',,1/16/2022,01/14/00,,
511,פיסיקה יישומית,מבוא למצב מוצק לתלמידי הנדסה,83320,א',,1/27/2022,16.2.22,,
511,פיסיקה יישומית,גלים ויסודות פיסיקה א,83325,א',,1/31/2022,2/27/2022,,
511,פיסיקה יישומית,מבוא להנדסת חשמל,83335,א',,1/25/2022,2/20/2022,,
511,פיסיקה יישומית,תכן VLSI,83413,א',,1/18/2022,2/18/2022,,
511,פיסיקה יישומית,פיסיקה של גלים מונחים,83510,א',,4.2.22,2/22/2022,,
511,פיסיקה יישומית,תכן לוגי מתקדם,83511,א',,1/27/2022,16.2.22,,
511,פיסיקה יישומית,מאלגברה לינארית לאייפון (א'): הנדסת חשמל ומערכות מעקרונות ראשוניים,83536,א',,19/01/2022,28.2.22,,
511,פיסיקה יישומית,התקנים של מוליכים למחצה,83812,א',,3.2.22,2/22/2022,,
511,פיסיקה יישומית,נושאים נבחרים בלייזרים,83860,א',בחירה מוסמך,10/2/2022,3/2/2022,,
511,פיסיקה יישומית,פיסיקה של התקני מוליכים למחצה,83882,א',,2/10/2022,3/3/2022,,
511,פיסיקה יישומית,פיסיקה תרמית וסטטיסטית,83911,א',חובה בוגר ,1/17/2022,2/15/2022,,
521,מדעי המחשב, מבוא למדעי המחשב,67101,א' או ב',לא לנגש עם 67312,1/18/2022,2/16/2022,,
521,מדעי המחשב,מבני נתונים,67109,א' או ב',,1/21/2022,2/24/2022,,
521,מדעי המחשב,מבוא לתכנות מונחה עצמים,67125,א',,1/16/2022,2/14/2022,,
521,מדעי המחשב,סדנת תכנות בשפות C ו- ++C,67312,,לא לנגש עם 67101,1/16/2022,3/4/2022,,
521,מדעי המחשב,מבוא ללוגיקה מתמטית לבעלי אוריינטציה תכנותית,67501,א',,2/6/2022,3/6/2022,,
521,מדעי המחשב,אלגוריתמים,67504,א' או ב',,1/23/2022,25/02/2022,,
521,מדעי המחשב,"מודלים חישוביים, חישוביות וסיבוכיות ",67521,א',,1/24/2022,2/14/2022,,
67528,,,67528,,,1/20/2022,2/22/2022,,
521,מדעי המחשב,דיני סייבר,67398,א',,1/2/2022,24/2/2022,,
