מועדי א' סמסטר ב'  26/6/22 עד 24/7/22   מועדי ב' 28/7/22 עד 18/8/22,,,,,"בתאריכים 10/7, 17/7 7/8 לא יתקיימו בחינות ",,,,
מס' חוג,שם חוג,שם קורס,מספר קורס,סמסטר,הערות ,מועדי א'   ,מועדי ב'  ,סיבה לשינויי,הסבר לדחיית או קבלת ההערה
511,פיסיקה יישומית,חשמל ומגנטיות לתלמידי הנדסה,83313,ב',,19.7.22,14.8.22,,
511,פיסיקה יישומית,מבוא לקוונטים למהנדסים,83326,ב',,7/11/2022,8/8/2022,,
511,פיסיקה יישומית,מבוא לאלקטרוניקה אנלוגית וספרתית,83328,ב',,7/18/2022,8/12/2022,,
511,פיסיקה יישומית,אפיון חומרים,83517,ב',,7/14/2022,,,
511,פיסיקה יישומית,אופטיקה קוונטית,83836,ב',,7/22/2022,,,
511,פיסיקה יישומית,תקשורת אופטית,83839,ב',בחירה ,6/26/2022,7/28/2022,,
511,פיסיקה יישומית,מבוא לאופטואלקטרוניקה,83879,ב',,7/13/2022,8/19/2022,,
511,פיסיקה יישומית,תורת הקוונטים בפיסיקה יישומית,83880,ב',,7/21/2022,8/16/2022,,
,פיסיקה יישומית,התקנים ננו פוטוניים,83886,ב',,7/6/2022,8/14/2022,,
,פיסיקה יישומית,גלים אלקטרו מגנטיים ואנטנטות,83888,ב',,18.7.22,19.8.22,,
511,פיסיקה יישומית,אופטואלקטרוניקה מתקדמת,83910,ב',מוסמך,7/13/2022,8/10/2022,,
520,תכנית תלפיות,טכנולוגיות לוחמה בעידן המידע לחניכי תלפיות,79617,ב',,6/26/2022,,,
521,מדעי המחשב,מבוא למדעי המחשב ,67101,א' או ב',לא לנגש עם 67312 ו 67315,6/26/2022,7/29/2022,,
521,מדעי המחשב,רשתות נוירונים לתמונות,67103,ב',,6/29/2022,7/24/2022,,
521,מדעי המחשב,מבני נתונים,67109,א' או ב',,6.7.22,10.8.22,,
521,מדעי המחשב,סדנא בקוד פתוח,67118,ב',,7/7/2022,7/29/2022,,
521,מדעי המחשב,גרף שווה אלף מספרים,67140,ב',,7/7/2022,8/5/2022,,
521,מדעי המחשב,מבנה המחשב,67200,ב',,7/22/2022,8/19/2022,,
521,מדעי המחשב,סדנת תכנות בשפות C ו- ++C,67315,,לא לנגש עם 67312 ו 67315,6/29/2022,7/31/2022,,
521,מדעי המחשב,מבוא להצפנה ואבטחת מידע ,67392,ב',,7/1/2022,8/4/2022,,
521,מדעי המחשב,אלגוריתמים,67504,א' או ב',,7/13/2022,10.8.22,,
521,מדעי המחשב,מסדי נתונים,67506,,,6/27/2022,8/2/2022,,
521,מדעי המחשב,מטבעות קריטוגרפיים ,67513,ב',,7/22/2022,8/19/2022,,
521,מדעי המחשב,"מודלים חישוביים, חישוביות וסיבוכיות ",67521,ב',,7/13/2022,8/12/2022,,
,,מבוא למערכות לומדות ,67577,ב',,7/7/2022,8/5/2022,,
521,מדעי המחשב,מבוא לעיבוד אותות,67651,ב',,7/4/2022,7/27/2022,,
521,מדעי המחשב,חשבון דיפרנציאלי ואינטגרלי במדעי המחשב,67559,ב',"חובה שנה ב'', לא לנגש עם 80135,80430,67504,67808",7/5/2022,8/4/2022,לבקתש החוג,
521,מדעי המחשב,שיטות סטטיסטיות בהנדסה ומדעי המחשב,67653,ב',,7/18/2022,8/15/2022,,
521,מדעי המחשב,צילום חישובי,67735,ב',,7/5/2022,8/14/2022,,
521,מדעי המחשב,שיטות הסתברותיות בבינה מלאכותית,67800,ב',,7/6/2022,7/29/2022,,
521,מדעי המחשב,מערכות הפעלה,67808,ב',,6/30/2022,7/31/2022,,
521,מדעי המחשב,אימות פורמלי של מערכות ראקטיביות,67883,א',,7/6/2022,7/29/2022,,
521,מדעי המחשב,למידה עמוקה שימושית,67912,ב',בחירה מוסמך ,7/18/2022,8/5/2022,,
529,הוראת התכנות,תכנות מתמטי ב MATLAB למדעי כדור הארץ,76628,ב',,6/27/2022,8/2/2022,,
529,הוראת התכנות,תכנות מתמטי במאטלב לכימיה,76629,א' או ב',,6/26/2022,2.8.22,,
529,הוראת התכנות,תכנות מתקדם בפייתון ,76632,ב',,6/30/2022,7/28/2022,,
529,הוראת התכנות,תכנות בשפת פייתון,76637,ב',,7/1/2022,8/15/2022,,
529,הוראת התכנות,תכנות פייתון ומטלאב,76641,קורס שנתי,,26/06/2022,28/07/2022,,
529,הוראת התכנות,יישומי מחשב ברוקחות,76680,,,,8/8/2022,,
530,מתמטיקה,"מבוא מתמטי לתלמידי כימיה וכדה""א (2)",80112,ב',,8.7.22,31.7.22,,
530,מתמטיקה,תורת המספרים האלמנטרית,80115,ב',,7/3/2022,8/8/2022,,
530,מתמטיקה,אנליזה אלמנטרית רב-מימדית,80116,א' או ב',,6/28/2022,8/1/2022,,
530,מתמטיקה,מתמטיקה למדעים 2,80127,ב',,7/11/2022,1.8.22,,
530,מתמטיקה,חשבון אינפיניטסימלי (1),80131,א' או ב',,07/12/2022,8/5/2022,לבקשת החוג למתמטיקה,
530,מתמטיקה,חשבון אינפיניטסימלי (2),80132,א' או ב',,07/12/2022,8/5/2022,לבקשת החוג למתמטיקה,
530,מתמטיקה,אלגברה ליניארית (1),80134,א' או ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,אלגברה ליניארית (2),80135,א' או ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי 2 (מורחב),80142,ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,אלגברה ליניארית לתלמידי הנדסה ומדעים 2,80154,ב',,7/25/2022,8/19/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי לפיסיקאים,80155,ב',מועדים זהים ל 80177,11.7.22,8.8.22,,
530,מתמטיקה,מתמטיקה שימושית (2),80157,ב',,3.7.22,3.8.22,,
530,מתמטיקה,חשבון אינפיניטסימלי לתלמידי הנדסה ומדעים,80177,ב',מועדים זהים ל 80155,11.7.22,8.8.22,,
530,מתמטיקה,מתמטיקה דיסקרטית,80181,א' או ב',,07/19/2022,11/8/2022,,
530,מתמטיקה,תורת הקבוצות,80200,ב',,7/8/2022,7/29/2022,,
530,מתמטיקה,אנליזה נומרית,80301,ב',,6/26/2022,7/24/2022,,
530,מתמטיקה,פונקציות מרוכבות ושימושיהן,80314,ב',,27/06/2022,02/08/2022,,
530,מתמטיקה,משוואות דיפרנציאליות ,80320,ב',,7/18/2022,8/16/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי 3,80415,א' או ב',,7/21/2022,8/19/2022,,
530,מתמטיקה,אנליזה על יריעות,80426,ב',,21.7.22,19.8.22,,
530,מתמטיקה,אנזליה פונקציונלית,80427,ב',,15.7.22,15.8.22,,
