חשמל ומגנטיות לתלמידי הנדסה,83313
מבוא לקוונטים למהנדסים,83326
מבוא לאלקטרוניקה אנלוגית וספרתית,83328
אפיון חומרים,83517
אופטיקה קוונטית,83836
תקשורת אופטית,83839
מבוא לאופטואלקטרוניקה,83879
תורת הקוונטים בפיסיקה יישומית,83880
התקנים ננו פוטוניים,83886
גלים אלקטרו מגנטיים ואנטנטות,83888
אופטואלקטרוניקה מתקדמת,83910
טכנולוגיות לוחמה בעידן המידע לחניכי תלפיות,79617
מבוא למדעי המחשב ,67101
רשתות נוירונים לתמונות,67103
מבני נתונים,67109
סדנא בקוד פתוח,67118
גרף שווה אלף מספרים,67140
מבנה המחשב,67200
סדנת תכנות בשפות C ו- ++C,67315
מבוא להצפנה ואבטחת מידע ,67392
אלגוריתמים,67504
מסדי נתונים,67506
מטבעות קריטוגרפיים ,67513
"מודלים חישוביים, חישוביות וסיבוכיות ",67521
מבוא למערכות לומדות ,67577
מבוא לעיבוד אותות,67651
חשבון דיפרנציאלי ואינטגרלי במדעי המחשב,67559
שיטות סטטיסטיות בהנדסה ומדעי המחשב,67653
צילום חישובי,67735
שיטות הסתברותיות בבינה מלאכותית,67800
מערכות הפעלה,67808
אימות פורמלי של מערכות ראקטיביות,67883
למידה עמוקה שימושית,67912
תכנות מתמטי ב MATLAB למדעי כדור הארץ,76628
תכנות מתמטי במאטלב לכימיה,76629
תכנות מתקדם בפייתון ,76632
תכנות בשפת פייתון,76637
תכנות פייתון ומטלאב,76641
יישומי מחשב ברוקחות,76680
"מבוא מתמטי לתלמידי כימיה וכדה""א (2)",80112
תורת המספרים האלמנטרית,80115
אנליזה אלמנטרית רב-מימדית,80116
מתמטיקה למדעים 2,80127
חשבון אינפיניטסימלי (1),80131
חשבון אינפיניטסימלי (2),80132
אלגברה ליניארית (1),80134
אלגברה ליניארית (2),80135
חשבון אינפיניטסימלי 2 (מורחב),80142
אלגברה ליניארית לתלמידי הנדסה ומדעים 2,80154
חשבון אינפיניטסימלי לפיסיקאים,80155
מתמטיקה שימושית (2),80157
חשבון אינפיניטסימלי לתלמידי הנדסה ומדעים,80177
מתמטיקה דיסקרטית,80181
תורת הקבוצות,80200
אנליזה נומרית,80301
פונקציות מרוכבות ושימושיהן,80314
משוואות דיפרנציאליות ,80320
חשבון אינפיניטסימלי 3,80415
אנליזה על יריעות,80426
אנזליה פונקציונלית,80427
תורת המשחקים (1),80428
מבוא להסתברות וסטטיסטיקה,80430
מבנים אלגבריים (1),80445
מבנים אלגבריים (2),80446
מבוא לטופולוגיה,80516
קומבינטוריקה,80520
מושגי יסוד בתורת ההצגות,80598
מושגי יסוד באנליזה ספקטרלית,80601
מבוא לתהליכים מקריים,80737
