,"שימו לב - יש למלא עבור כל סמסטר במהלך שנות הלימודים של המסלול את רשימות מספרי הקורסים שנדרש ללמוד, בסיווגים של חובה, חובת בחירה ובחירה.
יש לרשום את מספרי הקורסים עם פסיק ורווח ביניהם. ניתן (ומומלץ) להוסיף קורסים שלא נלמדים בגבעת רם.
ניתן לרשום קורס מסוים ביותר ממשבצת אחת של כל מסלול (אבל עדיף להמנע מזה).
עבור מסלולים שמתחילים בחורף - לרשום כאילו שהם לא לומדים כלום בסמסטר הראשון ושאר הסמסטרים בהיסט (ראו מדמח חורף לדוגמא).
קורסים שנתיים פשוט לרשום בסמסטר שבו נבחנים.
מסלולים שלא רשומים עדיין - יש להוסיף בעמודה הימנית. השתדלו להבחין בבירור בין מסלולים דומים אך שונים כגון חד-חוגי מורחב, חד חוגי עם חטיבה (ספציפית), דו-חוגי וכן הלאה.
לשאלות או הצעות: https://wa.me/972542374022
תודה על שיתוף הפעולה!",,,,,,,,,,,,,,,,,,,,,,,
,סמסטר 1,,,סמסטר 2,,,סמסטר 3,,,סמסטר 4,,,סמסטר 5,,,סמסטר 6,,,סמסטר 7,,,סמסטר 8,,
,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה,קורסי חובה,קורסי חובת בחירה,קורסי בחירה
מדמח חד חוגי,"67101, 80181, 80134, 80131, dff",,,"67315, 80135, 80132, 67109",,,"67504, 80430, 67925, 67501, 67125","67528, 67594, 67609, 67829",,"67808, 67521","67506, 67200, 67392, 67577, 67842",,,,,,,,,,,,,
מדמח חד חוגי חורף,,,,"67101, 80131, 80134, 80181",,,,,,,,,,,,,,,,,,,,
ביובית,"67101, 69174, 72160, 76559, 80134, 80181",,,"67109, 69166, 72155, 76563, 67315, 80135, 80131",,,"67504, 72120, 80430, 67125, 72942","67528, 67594, 67829, 72107, 72334, 72336, 72362, 72363, 72665, 88893, 81817, 94510","52309, 67829, 67298, 67528, 67548, 67573, 76915, 67501, 67978, 80420, 80445, 67658, 72350, 72585, 72665, 72683, 72625","67577, 72332, 76556, 72154, 76552","67392, 67506, 67842, 67200, 72339, 72343, 72345, 72369, 72604, 69123, 72368, 76562, 76564, 76553, 81865, 81855","67392, 67506, 67731, 67735, 67842, 67800, 67200, 80445, 52307, 52311,72369, 72604, 72639, 76716, 76724, 81855, 94691, 98449, 93900, 72356, 72320, 71991, 90721, 67107, 72941","76558, 67925, 67521, 72942","67528, 67594, 67829, 72107, 72334, 72336, 72362, 72363, 72665, 88893, 81817, 94510","52309, 67829, 67298, 67528, 67548, 67573, 76915, 67501, 67978, 80420, 80445, 67658, 72350, 72585, 72665, 72683, 72625","67808, 67521","67392, 67506, 67842, 67200, 72339, 72343, 72345, 72369, 72604, 69123, 72368, 76562, 76564, 76553, 81865, 81855","67392, 67506, 67731, 67735, 67842, 67800, 67200, 80445, 52307, 52311,72369, 72604, 72639, 76716, 76724, 81855, 94691, 98449, 93900, 72356, 72320, 71991, 90721, 67107, 72941",,,,,,
מדע הנתונים,"80131, 67101, 80181, 80114",,,"67109, 80134, 80430, 67315",,,"80135, 67504, 67125, 67925, 52003",,,"52006, 52307, 67521, 67577",,,"67815, 67978, 52309, 52568",,,"67814, 67731, 52311",,,,,,,,
קוגניציה,,,,,,,,,,,,,,,,,,,,,,,,
דו-חוגי פיזיקה-מדמח,,,,,,,,,,,,,,,,,,,,,,,,
פיזיקה-חד חוגי,,,,,,,,,,,,,,,,,,,,,,,,
