01/16/2022,02/11/2022,02/15/2022,03/03/2022
מכניקה ויחסות פרטית לתלמידי הנדסה,83312,1/16/2022,02/14/2022
מבוא למצב מוצק לתלמידי הנדסה,83320,1/27/2022,16/2/22
גלים ויסודות פיסיקה א,83325,1/31/2022,2/27/2022
מבוא להנדסת חשמל,83335,1/25/2022,2/20/2022
תכן VLSI,83413,1/18/2022,2/18/2022
פיסיקה של גלים מונחים,83510,4.2.22,2/22/2022
תכן לוגי מתקדם,83511,1/27/2022,16.2.22
מאלגברה לינארית לאייפון (א'): הנדסת חשמל ומערכות מעקרונות ראשוניים,83536,19/01/2022,28.2.22
התקנים של מוליכים למחצה,83812,3.2.22,2/22/2022
נושאים נבחרים בלייזרים,83860,10/2/2022,3/2/2022
פיסיקה של התקני מוליכים למחצה,83882,2/10/2022,3/3/2022
פיסיקה תרמית וסטטיסטית,83911,1/17/2022,2/15/2022
 מבוא למדעי המחשב,67101,1/18/2022,2/16/2022
מבני נתונים,67109,1/21/2022,2/24/2022
מבוא לתכנות מונחה עצמים,67125,1/16/2022,2/14/2022
סדנת תכנות בשפות C ו- ++C,67312,1/16/2022,3/4/2022
מבוא ללוגיקה מתמטית לבעלי אוריינטציה תכנותית,67501,2/6/2022,3/6/2022
אלגוריתמים,67504,1/23/2022,25/02/2022
"מודלים חישוביים, חישוביות וסיבוכיות ",67521,1/24/2022,2/14/2022
,67528,1/20/2022,2/22/2022
דיני סייבר,67398,1/2/2022,24/2/2022
,67548,2/6/2022,3/1/2022
מבוא לאינפורמציה והסקה ,67584,,
למידה חישובית בייזיאנית,67564,25/1/22,15/2/22
פתרון בעיות באלגוריתמים,67573,1/30/2022,2/24/2022
מבוא לרשתות תקשורת,67594,1/30/2022,3/3/2022
גרפיקה ממוחשבת,67609,1/27/2022,2/16/2022
סדנת מבוא לרובוטיקה,67654,7.2.22,3.3.22
עיבוד שפה טבעית ,67658,1/17/2022,2/27/2022
עבוד תמונות רפואיות רובוטיקה רפואית וניתוחים מונחי מחשב,67705,1/16/2022,2/17/2022
מבוא ללמידה עמוקה ,67822,1/24/2022,2/15/2022
כלים מתמטיים במדעי המחשב,67865,1/26/2022,2/17/2022
נושאים בקריטוגרפיה ,67892,2/3/2022,3/4/2022
סדנה במערכות חישוב מ-NAND ל-TETRIS,67925,2/1/2022,2/20/2022
תכנות מתמטי במאטלב לכימיה,76629,2/11/2022,3/3/2022
