06/26/2022,07/24/2022,07/28/2022,08/18/2022
חשמל ומגנטיות לתלמידי הנדסה,83313,19.7.22,14.8.22
מבוא לקוונטים למהנדסים,83326,7/11/2022,8/8/2022
מבוא לאלקטרוניקה אנלוגית וספרתית,83328,7/18/2022,8/12/2022
אפיון חומרים,83517,7/14/2022,
אופטיקה קוונטית,83836,7/22/2022,
תקשורת אופטית,83839,6/26/2022,7/28/2022
מבוא לאופטואלקטרוניקה,83879,7/13/2022,8/19/2022
תורת הקוונטים בפיסיקה יישומית,83880,7/21/2022,8/16/2022
התקנים ננו פוטוניים,83886,7/6/2022,8/14/2022
גלים אלקטרו מגנטיים ואנטנטות,83888,18.7.22,19.8.22
אופטואלקטרוניקה מתקדמת,83910,7/13/2022,8/10/2022
טכנולוגיות לוחמה בעידן המידע לחניכי תלפיות,79617,6/26/2022,
מבוא למדעי המחשב ,67101,6/26/2022,7/29/2022
רשתות נוירונים לתמונות,67103,6/29/2022,7/24/2022
מבני נתונים,67109,6.7.22,10.8.22
סדנא בקוד פתוח,67118,7/7/2022,7/29/2022
גרף שווה אלף מספרים,67140,7/7/2022,8/5/2022
מבנה המחשב,67200,7/22/2022,8/19/2022
סדנת תכנות בשפות C ו- ++C,67315,6/29/2022,7/31/2022
מבוא להצפנה ואבטחת מידע ,67392,7/1/2022,8/4/2022
אלגוריתמים,67504,7/13/2022,10.8.22
מסדי נתונים,67506,6/27/2022,8/2/2022
מטבעות קריטוגרפיים ,67513,7/22/2022,8/19/2022
"מודלים חישוביים, חישוביות וסיבוכיות ",67521,7/13/2022,8/12/2022
מבוא למערכות לומדות ,67577,7/7/2022,8/5/2022
מבוא לעיבוד אותות,67651,7/4/2022,7/27/2022
חשבון דיפרנציאלי ואינטגרלי במדעי המחשב,67559,7/5/2022,8/4/2022
שיטות סטטיסטיות בהנדסה ומדעי המחשב,67653,7/18/2022,8/15/2022
צילום חישובי,67735,7/5/2022,8/14/2022
שיטות הסתברותיות בבינה מלאכותית,67800,7/6/2022,7/29/2022
מערכות הפעלה,67808,6/30/2022,7/31/2022
אימות פורמלי של מערכות ראקטיביות,67883,7/6/2022,7/29/2022
למידה עמוקה שימושית,67912,7/18/2022,8/5/2022
תכנות מתמטי ב MATLAB למדעי כדור הארץ,76628,6/27/2022,8/2/2022
תכנות מתמטי במאטלב לכימיה,76629,6/26/2022,2.8.22
תכנות מתקדם בפייתון ,76632,6/30/2022,7/28/2022
תכנות בשפת פייתון,76637,7/1/2022,8/15/2022
תכנות פייתון ומטלאב,76641,26/06/2022,28/07/2022
יישומי מחשב ברוקחות,76680,,8/8/2022
"מבוא מתמטי לתלמידי כימיה וכדה""א (2)",80112,8.7.22,31.7.22
תורת המספרים האלמנטרית,80115,7/3/2022,8/8/2022
אנליזה אלמנטרית רב-מימדית,80116,6/28/2022,8/1/2022
מתמטיקה למדעים 2,80127,7/11/2022,1.8.22
חשבון אינפיניטסימלי (1),80131,07/12/2022,8/5/2022
חשבון אינפיניטסימלי (2),80132,07/12/2022,8/5/2022
אלגברה ליניארית (1),80134,7/25/2022,8/18/2022
אלגברה ליניארית (2),80135,7/25/2022,8/18/2022
חשבון אינפיניטסימלי 2 (מורחב),80142,7/25/2022,8/18/2022
אלגברה ליניארית לתלמידי הנדסה ומדעים 2,80154,7/25/2022,8/19/2022
חשבון אינפיניטסימלי לפיסיקאים,80155,11.7.22,8.8.22
מתמטיקה שימושית (2),80157,3.7.22,3.8.22
חשבון אינפיניטסימלי לתלמידי הנדסה ומדעים,80177,11.7.22,8.8.22
מתמטיקה דיסקרטית,80181,07/19/2022,11/8/2022
תורת הקבוצות,80200,7/8/2022,7/29/2022
אנליזה נומרית,80301,6/26/2022,7/24/2022
פונקציות מרוכבות ושימושיהן,80314,27/06/2022,02/08/2022
משוואות דיפרנציאליות ,80320,7/18/2022,8/16/2022
חשבון אינפיניטסימלי 3,80415,7/21/2022,8/19/2022
אנליזה על יריעות,80426,21.7.22,19.8.22
אנזליה פונקציונלית,80427,15.7.22,15.8.22
תורת המשחקים (1),80428,7/13/2022,8/12/2022
מבוא להסתברות וסטטיסטיקה,80430,07/19/2022,08/14/2022
מבנים אלגבריים (1),80445,3.7.22,7/25/2022
מבנים אלגבריים (2),80446,3.7.22,7/25/2022
מבוא לטופולוגיה,80516,6/29/2022,8/3/2022
קומבינטוריקה,80520,7/19/2022,8/18/2022
